time,hr,vo2
"0:00:05,860",92,1.30
"0:00:08,860",94,1.06
"0:00:10,200",95,1.52
"0:00:12,000",96,1.43
"0:00:14,360",98,1.51
"0:00:16,740",99,1.65
"0:00:18,800",100,1.78
"0:00:22,000",101,1.82
"0:00:25,060",102,1.74
"0:00:27,160",102,1.72
"0:00:30,480",103,1.80
"0:00:32,980",104,1.80
"0:00:35,900",104,2.03
"0:00:38,420",104,2.10
"0:00:41,060",104,2.10
"0:00:43,060",104,2.05
"0:00:45,460",104,1.80
"0:00:48,280",104,1.77
"0:00:50,540",104,1.81
"0:00:53,040",104,1.89
"0:00:55,700",105,2.02
"0:00:57,280",105,1.90
"0:01:01,480",105,1.90
"0:01:03,640",105,1.90
"0:01:06,640",106,1.94
"0:01:09,600",106,1.88
"0:01:12,340",106,1.77
"0:01:14,320",106,1.91
"0:01:16,560",106,1.81
"0:01:19,900",106,1.92
"0:01:23,540",106,2.13
"0:01:25,460",106,2.13
"0:01:28,360",105,2.29
"0:01:30,680",105,2.13
"0:01:33,140",105,2.27
"0:01:35,660",105,2.31
"0:01:37,840",105,2.31
"0:01:39,680",105,2.09
"0:01:41,060",105,2.07
"0:01:43,020",106,2.07
"0:01:45,200",106,2.31
"0:01:47,640",106,2.23
"0:01:51,260",107,2.25
"0:01:54,500",107,1.69
"0:01:56,760",108,1.69
"0:02:00,740",108,1.81
"0:02:04,180",111,1.87
"0:02:07,800",111,2.10
"0:02:09,560",111,2.30
"0:02:12,400",111,2.33
"0:02:15,560",114,2.40
"0:02:20,260",116,2.60
"0:02:22,840",117,2.73
"0:02:25,520",118,2.67
"0:02:28,020",118,2.73
"0:02:30,720",119,2.67
"0:02:34,880",119,2.62
"0:02:37,640",119,2.45
"0:02:40,220",119,2.43
"0:02:42,820",119,2.46
"0:02:45,520",119,2.41
"0:02:48,380",119,2.49
"0:02:51,540",119,2.49
"0:02:53,960",119,2.49
"0:02:56,100",119,2.61
"0:02:58,340",121,2.64
"0:03:00,620",122,2.64
"0:03:02,800",122,2.61
"0:03:04,820",122,2.46
"0:03:07,640",122,2.44
"0:03:10,640",123,2.34
"0:03:13,180",123,2.29
"0:03:15,480",123,2.38
"0:03:18,100",123,2.38
"0:03:21,020",122,2.38
"0:03:23,620",122,2.38
"0:03:25,900",122,2.66
"0:03:28,100",121,2.73
"0:03:31,760",121,2.73
"0:03:34,500",121,2.67
"0:03:37,020",121,2.64
"0:03:40,480",121,2.53
"0:03:43,100",121,2.61
"0:03:45,160",121,2.61
"0:03:48,200",122,2.70
"0:03:52,300",122,2.68
"0:03:54,840",122,2.68
"0:03:58,120",123,2.68
"0:04:00,780",123,2.53
"0:04:03,460",123,2.68
"0:04:07,300",123,2.70
"0:04:09,720",123,2.68
"0:04:12,560",124,2.61
"0:04:15,040",125,2.61
"0:04:17,540",125,2.68
"0:04:20,220",126,2.64
"0:04:23,660",126,2.58
"0:04:26,160",126,2.64
"0:04:29,100",126,2.74
"0:04:31,720",126,2.71
"0:04:35,240",126,2.71
"0:04:37,400",126,3.04
"0:04:40,580",126,2.41
"0:04:44,360",125,2.57
"0:04:45,960",124,2.73
"0:04:47,680",124,3.12
"0:04:50,600",124,2.97
"0:04:53,060",124,2.99
"0:04:55,160",124,2.92
"0:04:57,240",125,2.89
"0:04:59,460",128,2.87
"0:05:01,520",130,2.87
"0:05:03,540",132,2.87
"0:05:05,700",135,2.79
"0:05:08,060",136,2.79
"0:05:10,600",136,2.85
"0:05:12,860",136,2.83
"0:05:15,180",136,2.83
"0:05:17,760",136,2.87
"0:05:20,120",136,2.78
"0:05:22,580",134,2.82
"0:05:24,920",133,2.77
"0:05:27,360",131,2.75
"0:05:30,340",129,2.75
"0:05:33,260",127,2.60
"0:05:35,740",126,2.60
"0:05:38,640",126,2.37
"0:05:41,260",125,2.35
"0:05:45,540",125,2.37
"0:05:48,020",125,2.37
"0:05:50,980",125,2.37
"0:05:54,080",125,2.63
"0:05:56,460",123,2.73
"0:06:00,520",122,2.52
"0:06:03,040",121,2.33
"0:06:05,400",120,2.15
"0:06:07,800",120,2.15
"0:06:10,460",120,2.04
"0:06:13,340",120,2.12
"0:06:16,140",120,2.05
"0:06:20,180",120,2.15
"0:06:23,120",120,2.17
"0:06:25,820",119,1.93
"0:06:29,780",119,2.00
"0:06:34,660",117,1.98
"0:06:39,060",117,1.98
"0:06:43,460",117,1.98
"0:06:48,240",117,1.98
"0:06:52,860",117,1.98
"0:06:55,420",117,2.56
"0:06:58,020",117,2.14
"0:07:00,500",119,2.14
"0:07:02,860",119,2.14
"0:07:05,080",119,2.14
"0:07:08,860",119,2.22
"0:07:11,780",121,2.12
"0:07:15,240",122,2.37
"0:07:19,620",122,2.37
"0:07:21,840",123,2.40
"0:07:24,560",123,2.40
"0:07:27,000",124,2.43
"0:07:29,360",124,2.45
"0:07:32,020",124,2.48
"0:07:34,960",124,2.42
"0:07:37,460",124,2.42
"0:07:40,100",124,2.40
"0:07:42,700",124,2.39
"0:07:45,920",125,2.39
"0:07:48,020",125,2.39
"0:07:49,880",125,2.37
"0:07:54,580",124,2.35
"0:07:57,240",124,2.42
"0:08:00,200",124,2.35
"0:08:02,300",124,2.45
"0:08:04,900",124,2.44
"0:08:07,280",124,2.44
"0:08:10,340",124,2.40
"0:08:12,940",125,2.37
"0:08:16,580",125,2.34
"0:08:19,160",125,2.34
"0:08:21,680",126,2.34
"0:08:24,060",126,2.46
"0:08:26,440",126,2.48
"0:08:29,580",128,2.60
"0:08:32,120",129,2.62
"0:08:34,240",129,2.67
"0:08:36,560",129,2.79
"0:08:38,720",129,2.79
"0:08:40,940",129,2.79
"0:08:43,100",128,2.70
"0:08:45,260",127,2.58
"0:08:47,620",126,2.46
"0:08:50,280",125,2.43
"0:08:52,680",123,2.41
"0:08:55,020",123,2.49
"0:08:57,340",123,2.49
"0:08:59,740",123,2.39
"0:09:02,600",123,2.43
"0:09:05,140",124,2.32
"0:09:07,800",127,2.42
"0:09:10,600",129,2.46
"0:09:15,200",131,2.44
"0:09:18,360",131,2.46
"0:09:20,840",131,2.55
"0:09:23,880",131,2.62
"0:09:26,700",131,2.86
"0:09:28,380",131,2.87
"0:09:34,200",131,2.88
"0:09:36,780",131,2.90
"0:09:39,340",131,2.90
"0:09:41,680",130,2.97
"0:09:44,860",130,2.87
"0:09:48,440",128,2.54
"0:09:51,120",127,2.54
"0:09:55,280",127,2.54
"0:09:59,120",127,2.54
"0:10:02,920",127,2.71
"0:10:05,220",127,3.04
"0:10:08,380",128,3.04
"0:10:11,040",130,3.04
"0:10:13,620",132,2.97
"0:10:16,360",134,2.97
"0:10:18,540",135,2.97
"0:10:23,060",138,3.02
"0:10:25,480",138,3.06
"0:10:28,340",138,2.83
"0:10:30,960",138,3.06
"0:10:33,300",138,3.25
"0:10:35,400",139,3.07
"0:10:38,080",139,3.06
"0:10:40,440",139,2.95
"0:10:42,760",139,3.06
"0:10:45,180",140,2.90
"0:10:47,980",140,3.02
"0:10:51,180",140,3.19
"0:10:53,740",140,3.07
"0:10:56,680",140,2.95
"0:10:58,980",140,3.04
"0:11:01,320",139,3.04
"0:11:03,660",139,3.04
"0:11:05,820",139,3.04
"0:11:07,980",139,3.04
"0:11:10,080",139,3.03
"0:11:12,560",140,3.04
"0:11:15,120",141,2.96
"0:11:17,460",141,2.86
"0:11:20,160",141,2.86
"0:11:22,560",141,2.86
"0:11:25,320",141,2.96
"0:11:28,600",141,3.01
"0:11:30,620",140,3.03
"0:11:32,640",140,3.40
"0:11:34,520",140,3.35
"0:11:36,400",140,3.35
"0:11:38,660",140,3.28
"0:11:40,660",140,3.28
"0:11:42,600",140,3.12
"0:11:44,800",140,3.09
"0:11:47,120",140,3.00
"0:11:49,420",140,3.00
"0:11:51,540",140,2.92
"0:11:53,440",140,2.93
