timestep,watts,cadence
0,87,44
1,99,45
2,122,47
3,122,47
4,140,50
5,138,50
6,137,51
7,135,53
8,133,53
9,135,54
10,135,54
11,137,55
12,131,55
13,114,55
14,108,55
15,116,55
16,123,55
17,127,56
18,127,56
19,121,56
20,116,56
21,115,56
22,122,56
23,129,56
24,131,56
25,135,57
26,132,57
27,130,57
28,129,57
29,129,57
30,128,57
31,115,57
32,121,58
33,124,58
34,129,57
35,126,57
36,132,58
37,132,58
38,138,58
39,130,58
40,125,58
41,125,58
42,126,58
43,124,58
44,121,58
45,123,58
46,128,58
47,132,58
48,133,58
49,130,58
50,127,58
51,123,58
52,123,58
53,128,58
54,133,58
55,139,58
56,143,59
57,133,59
58,134,59
59,141,59
60,145,59
61,133,60
62,131,59
63,135,60
64,139,60
65,132,59
66,128,59
67,131,59
68,141,60
69,148,59
70,149,60
71,141,60
72,139,60
73,149,60
74,146,60
75,145,61
76,147,61
77,146,61
78,146,61
79,141,61
80,140,61
81,144,61
82,155,62
83,153,62
84,154,62
85,153,62
86,148,63
87,146,62
88,142,62
89,133,62
90,139,61
91,149,62
92,151,62
93,142,62
94,143,62
95,157,62
96,164,63
97,155,62
98,146,63
99,148,63
100,152,63
101,162,63
102,163,63
103,156,64
104,151,63
105,149,63
106,152,64
107,153,63
108,151,64
109,151,63
110,161,64
111,165,64
112,155,64
113,149,64
114,148,64
115,157,64
116,163,64
117,172,65
118,174,65
119,163,65
120,161,65
121,166,65
122,165,65
123,159,65
124,153,65
125,145,65
126,142,64
127,142,64
128,151,64
129,161,64
130,162,64
131,163,65
132,164,65
133,162,65
134,159,65
135,157,65
136,153,65
137,156,65
138,161,65
139,172,65
140,180,66
141,173,66
142,167,66
143,162,66
144,157,66
145,161,65
146,160,66
147,157,66
148,153,65
149,150,65
150,150,65
151,155,65
152,168,65
153,165,66
154,161,65
155,151,65
156,149,65
157,148,65
158,152,65
159,157,65
160,156,65
161,153,65
162,156,64
163,155,65
164,155,65
165,156,64
166,163,65
167,158,65
168,162,65
169,168,65
170,172,65
171,182,65
172,208,67
173,220,68
174,233,69
175,223,70
176,223,70
177,223,70
178,223,70
179,223,70
180,223,70
181,223,70
182,223,70
183,220,70
184,200,70
185,190,71
186,188,71
187,185,72
188,175,71
189,175,71
190,176,71
191,173,70
192,170,70
193,172,70
194,178,70
195,178,70
196,180,70
197,175,69
198,172,69
199,170,69
200,173,68
201,180,69
202,180,69
203,181,69
204,188,69
205,187,69
206,184,69
207,186,69
208,192,69
209,194,70
210,188,70
211,183,70
212,178,70
213,169,69
214,160,69
215,160,69
216,189,69
217,192,69
218,190,69
219,184,69
220,184,70
221,177,69
222,167,69
223,165,69
224,181,69
225,193,70
226,185,69
227,179,69
228,175,69
229,174,69
230,175,69
231,175,69
232,177,69
233,177,69
234,173,69
235,176,69
236,181,68
237,180,69
238,170,69
239,165,68
240,164,68
241,160,67
242,166,68
243,175,68
244,186,68
245,183,68
246,185,68
247,190,69
248,190,69
249,183,69
250,182,69
251,176,69
252,177,69
253,177,69
254,171,69
255,172,68
256,176,69
257,184,68
258,190,69
259,185,69
260,185,69
261,185,69
262,181,69
263,175,69
264,174,69
265,176,69
266,185,69
267,189,69
268,180,69
269,175,69
270,182,70
271,187,70
272,189,70
273,181,69
274,181,70
275,183,69
276,192,70
277,191,70
278,182,70
279,190,70
280,200,70
281,197,70
282,186,70
283,185,70
284,185,70
285,193,71
286,198,70
287,184,71
288,180,70
289,179,70
290,179,70
291,185,70
292,190,70
293,254,72
294,345,76
295,327,78
296,299,78
297,275,79
298,268,80
299,321,81
300,357,84
301,346,87
302,253,101
303,145,106
304,101,105
305,80,105
306,77,104
307,76,100
308,106,100
309,110,101
310,103,100
311,91,99
312,101,100
313,110,99
314,104,100
315,97,99
316,94,99
317,91,98
318,96,97
319,99,96
320,106,97
321,104,96
322,99,96
323,96,95
324,96,95
325,99,94
326,107,94
327,106,95
328,104,95
329,105,96
330,110,97
331,100,97
332,93,96
333,90,96
334,96,96
335,109,97
336,105,97
337,102,97
338,92,97
339,88,96
340,97,96
341,103,96
342,107,96
343,105,97
344,103,97
345,97,97
346,96,97
347,99,96
348,99,96
349,95,96
350,98,96
351,102,95
352,101,95
353,99,95
354,97,94
355,94,94
356,103,94
357,107,94
358,104,94
359,95,94
360,101,94
361,112,94
362,113,94
363,113,94
364,128,94
365,116,94
366,111,94
367,116,93
368,120,93
369,123,93
370,123,93
371,119,93
372,119,93
373,123,93
374,121,94
375,113,93
376,116,93
377,122,94
378,126,94
379,124,94
380,118,94
381,114,93
382,114,92
383,116,92
384,122,92
385,122,93
386,122,92
387,123,93
388,115,92
389,114,92
390,123,92
391,122,92
392,123,92
393,126,93
394,117,93
395,114,93
396,115,92
397,117,91
398,118,91
399,122,91
400,117,91
401,112,90
402,122,90
403,127,90
404,128,91
405,120,91
406,120,91
407,129,92
408,126,91
409,120,93
410,118,91
411,123,93
412,128,93
413,119,94
414,111,92
415,118,92
416,127,93
417,125,94
418,123,94
419,118,94
420,119,94
421,124,94
422,139,94
