t,test,Phase,Marqueur,BF,V'O2,V'CO2,V'O2/kg,V'O2/FC,FC,TT,V'E/V'O2,V'E/V'CO2,RER,V'E,VT,SpO2,VE'max,VD(est),FECO2,FEO2,P(A-a)O2,P(a-et) CO2(est.),PaCO2(est.),PaO2,PetO2,PetCO2,tE,tI,VD/VT(est),V'E/MVV,VB (est. V'O2max),DE,EE/BSA,EE/CT,EE/kg,EE/kg_Lean
"0:00:06,320",FTP20,Exercice,,24,2.02,1.85,22,22,93,-,28.2,30.8,0.92,61.0,2.56,-,3.3,364,3.8,16.5,-,-4,33,-,105,37,1.7,0.8,0.14,0.35,212.8,594,280,-,7,7
"0:00:07,300",FTP20,Exercice,,57,1.54,1.40,17,16,94,-,27.5,30.3,0.91,52.0,0.92,-,3.3,128,3.8,16.7,-,0,34,-,110,34,0.6,0.5,0.14,0.30,179.2,452,213,-,5,5
"0:00:08,360",FTP20,Exercice,,27,1.67,1.54,18,18,94,-,29.6,32.2,0.92,54.1,1.98,-,3.3,371,3.8,16.9,-,-2,34,-,110,36,1.5,0.7,0.19,0.31,188.4,492,231,-,5,5
"0:00:10,560",FTP20,Exercice,,28,1.68,1.55,18,18,94,-,29.6,32.2,0.92,54.6,1.98,-,2.7,371,3.7,16.9,-,-2,34,-,110,36,1.4,0.8,0.19,0.31,189.4,497,233,-,5,5
"0:00:16,120",FTP20,Exercice,,28,1.70,1.58,19,18,94,-,29.5,31.7,0.93,55.0,2.00,-,2.6,328,3.7,17.0,-,-2,33,-,110,35,1.4,0.8,0.16,0.31,190.8,504,237,-,6,6
"0:00:18,300",FTP20,Exercice,,28,1.68,1.55,18,18,94,-,29.6,32.2,0.92,54.6,1.98,-,2.4,348,3.7,17.1,-,-2,33,-,110,35,1.4,0.8,0.18,0.31,189.4,497,234,-,5,5
"0:00:20,360",FTP20,Exercice,,27,1.69,1.57,19,18,93,-,29.5,31.7,0.93,54.5,2.00,-,2.4,351,3.7,17.1,-,-2,34,-,110,36,1.4,0.8,0.18,0.31,191.8,499,235,-,5,5
"0:00:22,540",FTP20,Exercice,,27,1.67,1.56,18,18,92,-,29.5,31.7,0.93,54.0,2.00,-,2.4,354,3.7,17.0,-,-2,34,-,109,36,1.5,0.8,0.18,0.31,192.7,494,232,-,5,5
"0:00:24,760",FTP20,Exercice,,27,1.67,1.56,18,18,91,-,29.5,31.7,0.93,54.0,2.00,-,2.4,354,3.7,17.0,-,-2,34,-,109,36,1.4,0.9,0.18,0.31,194.9,494,232,-,5,5
"0:00:27,280",FTP20,Exercice,,28,1.70,1.58,19,19,91,-,29.5,31.7,0.93,55.0,2.00,-,2.4,354,3.7,17.0,-,-2,34,-,109,36,1.4,0.8,0.18,0.31,197.0,503,237,-,6,6
